id,province,adl_katz_score,net_family_income_cad,has_dtc,is_veteran,sensitivity_case,private_pay_annual_cad,out_of_pocket_before_credits_annual_cad,metc_qualifying_amount_cad,metc_federal_value_cad,metc_provincial_value_cad,metc_credit_value_cad,dtc_credit_value_cad,ccc_credit_value_cad,vac_vip_credit_value_cad,total_credits_value_cad,out_of_pocket_after_credits_annual_cad,effective_credit_fraction_of_oop
157,BC,3,150000,False,False,baseline,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,0.0,0.0,0.0,4803.01,21860.34,0.1801
158,BC,3,150000,False,True,vip_only,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,0.0,0.0,12396.0,17199.01,9464.34,0.645
159,BC,3,150000,True,False,dtc_only,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,1957.86,0.0,0.0,6760.86,19902.49,0.2536
160,BC,3,150000,True,True,dtc_and_vip,67460.82,26663.35,23904.35,3585.65,1217.35,4803.01,1957.86,0.0,12396.0,19156.86,7506.49,0.7185
161,BC,4,25000,False,False,baseline,50398.52,18864.25,18114.25,2717.14,916.58,3633.72,0.0,548.27,0.0,4181.99,14682.26,0.2217
162,BC,4,25000,False,True,vip_only,50398.52,18864.25,18114.25,2717.14,916.58,3633.72,0.0,548.27,12396.0,16577.99,2286.26,0.8788
163,BC,4,25000,True,False,dtc_only,50398.52,18864.25,18114.25,2717.14,916.58,3633.72,1957.86,548.27,0.0,6139.85,12724.4,0.3255
164,BC,4,25000,True,True,dtc_and_vip,50398.52,18864.25,18114.25,2717.14,916.58,3633.72,1957.86,548.27,12396.0,18535.85,328.4,0.9826
165,BC,4,50000,False,False,baseline,50398.52,18864.25,17364.25,2604.64,878.63,3483.27,0.0,0.0,0.0,3483.27,15380.98,0.1846
166,BC,4,50000,False,True,vip_only,50398.52,18864.25,17364.25,2604.64,878.63,3483.27,0.0,0.0,12396.0,15879.27,2984.98,0.8418
